"1. On a scale of 1-5, how actively are you involved in the Cardano ecosystem?",2. What role/s do you have within the Cardano community (select all that apply)?,3. How long have you been engaged with Cardano?,4. Please indicate your level of experience with Cardano:,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Development of our core infrastructure]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Research and development]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Marketing and ecosystem growth]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Innovation and grants (e.g. Catalyst)]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Regulatory compliance and governance]",6. Which areas do you believe should receive the most funding in the upcoming budget? (Select up to three),"6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Development of our core infrastructure]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Research and development]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Marketing and ecosystem growth]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Innovation and grants (e.g. Catalyst)]","7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Regulatory compliance and governance]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [On-chain Governance support]",7. Are there specific technologies or platforms you believe Cardano should adopt/integrate/consider?,9. Do you think Cardano should allocate budget for global outreach and adoption in developing countries?,10. Should funds be allocated to support third-party developers and startups building on Cardano?,8. What percentage of the budget should be reserved for unforeseen opportunities or emergencies?,9. How would you prefer to participate in budget decision-making? (Select all that apply),"10. How much would you like to participate (through committees, working groups and async discussions/research) ?",11. How important is transparency in the budget process to you?,12. How familiar are you with the budget process at Intersect and the budget committee’s progress (see here for more information)?,13. What are the top three projects or initiatives you would like to see funded in the next budget cycle?,14. Are there any areas you feel are currently overfunded and could receive less emphasis?,"15. On the other hand, are there any areas you feel are currently underfunded and could receive greater emphasis?",16. What challenges do you believe are most critical for Cardano to address with its budget?,"17. Are you currently participating in a committee, working group or special interest group?",18. How frequently would you like to receive updates on budget allocation and spending?,19. What level of detail would you prefer to receive?,20. Which communication channels do you prefer for receiving updates on budget and financial activities? (Select all that apply),21. Do you have any additional comments or suggestions regarding the budget planning process or funding allocation for Cardano?,Which region do you primarily reside in?,"7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Innovation and funding (i.e. Catalyst)]",Please acknowledge that you have read and agreed to our Privacy Policy?,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [On-chain governance support]"
3,"End user, Community organizer",2 - 5 years,Advanced,2,3,1,4,,,2,3,1,4,,5,USDC from Circle,,,11% - 15%,Providing feedback through surveys,Unsure/I don’t know,3,I have not engaged,USDC,Governance,Ecosystem development ,"Lack of liquidity, poor ecosystem development, poor marketing","No, and not interested or have enough time",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms",No ,North America,,I agree,5
5,"End user, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,5,2,4,1,,,5,1,4,2,,3,"Fiat on/off ramps, Debit/Credit card integrations, and ZK technologies and identity management.",,,11% - 15%,All of the above,1-9 hours per month,5,Neutral,"Core development in regard to scaling, ZK implementations around identity management, and Marketing.","Research/Development.  We've had a few years of research - lots of papers out there with things to be implemented.  We should shift gears a bit and start executing and delivering, strengthen the overall ecosystem a bit more and we can go back into research hard once that work is complete.  Could say sentiment has been that historically research is outpacing actual execution.",Marketing/Awareness at non-Cardano blockchain events. Core developers could be grown to increase execution pace. Would be nice to see a dedicated resource group of developers that help to shore up any gaps on compatibility problems that have direct impact to things like governance when it comes to wallets or hardware wallets.,Sustainability is key. How to grow the treasury while keeping spend at a rate that can help Cardano grow without depleting it leaving the ecosystem with no funds to deploy.,"No, but would like to",Monthly,Both high-level and detail,All the above,Just that I appreciate the efforts. ,North America,,I agree,3
4,"End user, On-chain governance (DRep, ICC, SPO)",Over 5 years,Advanced,4,1,3,5,,,4,1,3,5,,2,Stablecoins ,,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,Somewhat familiar,"Support established Cardano developers with proven track records, emphasizing innovative projects",,To support current Cardano devs,To preserve the Cardano Treasury and efficient capital allocation. ,"No, and not interested or have enough time",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",Cardano going for number 1,Europe,,I agree,2
5,End user,2 - 5 years,Advanced,1,3,4,5,,,1,2,5,4,,3,ZKrollups,,,5% - 10%,All of the above,1-9 hours per month,5,Neutral,"ZKRollup projects, Midnight, Hydra application",No,None,Simplifying technicalities for better mainstream adoption,I would like to but unsure of how to join or participate,Monthly,Both high-level and detail,All the above,None,Europe,,I agree,2
4,End user,2 - 5 years,Intermediate,1,2,3,5,,,1,2,3,5,,4,,,,Less than 5%,Providing feedback through surveys,1-9 hours per month,5,Somewhat familiar,"Ouroboros Leios, USDM liquidity, CNT CEX listing",No,No,"Scalability, Liquidity, CEX listings","No, and not interested or have enough time",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Webinars or live streams",No,Asia,,I agree,4
5,"Developer, Builder (part of DApp or project), End user, On-chain governance (DRep, ICC, SPO)",2 - 5 years,Advanced,2,1,5,3,,,2,1,5,3,,4,gRPC,,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,I have not engaged,"Aiken, Amaru, and IBC bridge",Governance,Alternative clients,Decentralizing development across the community,"Yes, one committee, working group or special interest group",Only when major changes occur,Both high-level and detail,All the above,"Consider allocating a significant amount of the budget for ad hoc proposals, outside of the committee laden process which alienates those without time to dedicate to also participating in Intersect.",North America,,I agree,4
4,"Builder (part of DApp or project), End user, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO)",Over 5 years,Advanced,1,3,5,4,,,1,3,5,2,,4,Usdc integration ,,,Unsure/I don’t know,Voting on proposals (as a DRep),Unsure/I don’t know,3,Not familiar,Usdc integration and cardano development tooling ,I don't know. Don't like marketing budget at all. Marketing should be done by projects not cardano the protocol. ,"It's hard for devs to build on cardano. Therefore this should be priority number one. Secondly, liquidity is hard to come by due to lack of support for adopted native stable coins. ",Zee previous question. ,"No, and not interested or have enough time",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Social media platforms, Twitter ",No,Europe,,I agree,2
5,Staker ,2 - 5 years,Advanced,5,3,1,2,,,5,3,1,2,,4,"Ethereum, Sui, Avalanche",,,5% - 10%,"Providing feedback through surveys, Serving on committees or working groups",10+ hours per month,5,Very familiar,"USDC integration, helping CNT with Cex listing, Integrating VC institutional support","Too many catalyst projects, reduce the size","Liquidity into Defi, Marketing, interoperability ","Liquidity, institutional support, marketing","No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,"Focus on USDC integration, CNT listing on CEXs, global marketing increase, VC support ",North America,,I agree,4
2,End user,2 - 5 years,Intermediate,2,5,1,3,,,4,3,1,2,,5,,,,5% - 10%,Participating in focus groups or workshops,Unsure/I don’t know,5,Unsure/I don’t know,"Adoption, RealFi, Voting",Note,Marketing,Return on Investment,"No, and not interested or have enough time",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,"Create an awesome budget to support the ecosystem adoption, growth, and utility",North America,,I agree,4
5,"End user, I read. I tell others what I read in real life about the good news.",Over 5 years,Expert,4,3,2,1,,,1,2,4,3,,5,Peer reviewed publications especially mathematics. Regulatory Law and Litigation Defense.,,,More than 15%,On Chain eventually reducing politicians bias via a smart contract. Politicians should be functions of smart contracts.,Unsure/I don’t know,5,Somewhat familiar,"Litigation defense, regulatory approval, entrenching peer reviewed science into the financial world.",Anything not directly related to any action not based on obtaining regulatory clarity.,If they do not bring about regulatory clarity all of the projects and effort will be for nothing.,Regulatory clarity. All fun and games until your named in enforcement actions.,My interests as an early adopter in my community advocating for ADA.,I don’t want updates,I don’t want updates,On chain. I don't expect to hear or see politicians only the results from smart contracts executed on chain. Less bureaucracy or we have not learned. ,It is vitally important that your roles are reduced to functions on a smart contract. The data we are creating now is invaluable pseudocode to transform governance in the future. Your positions are clearly defined we just have to code them into the chain. Being a politician need not be work and as we see the political theater from a larger political aspect unfold in our day to day lives the realization that human bias plays is obvious.  Being a politician should be as easy as pushing a button and either confirming the smart contract proposed or not.,North America,,I agree,5
3,End user,Less than 1 year,Beginner,4,5,1,2,,,4,5,1,2,,3,,,,Unsure/I don’t know,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Somewhat familiar,"Events in North America, Marketing, Publicity, ",N/a,N/a,Prioritization,"Yes, one committee, working group or special interest group",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates",N/a,North America,,I agree,3
3,"End user, Researcher",2 - 5 years,Intermediate,1,3,5,4,,,1,3,5,4,,2,"To support the rapid implementation of nation state blockchain voting and create a more meaningful culture, I believe Cardano should consider integrating the following technologies and platforms:

1. Interoperable Governance Frameworks: Cardano could develop a modular governance framework that facilitates interoperability with existing governmental systems and other blockchain networks. This would enable the seamless adoption of blockchain voting across various jurisdictions, empowering citizens to engage in governance without disrupting current structures.

2. Enhanced Identity Solutions: As Cardano advances its identity solutions, particularly with the upcoming Midnight sidechain, it should focus on multi-dimensional verification methods that could integrate biometric, social, and historical data. This enhancement will bolster trust in the voting process, ensuring eligible participation while safeguarding privacy.

3. Blockchain-Based Impact Assessment Tools: Developing tools for communities to assess the impact of their voting decisions over time can create valuable feedback loops. This encourages informed participation, enabling citizens to see the direct effects of their votes, thereby fostering accountability and continuous improvement in governance processes.

4. AI-Driven Insights and Recommendations: Leveraging AI technologies to analyze voting trends, predict community needs, and optimize engagement strategies could enhance decision-making within the Cardano ecosystem. AI can ensure that governance remains responsive to evolving community needs, addressing challenges and opportunities proactively

By adopting these technologies or similar, Cardano can play a pivotal role in re-engineering our societal structures and unlocking our potential as a species. The integration of innovative governance solutions, enhanced identity verification, and responsible AI-driven insights will improve the efficiency and effectiveness of blockchain voting while nurturing a culture of active participation and social responsibility.

Ultimately, these initiatives align with the goal of creating a meaningful culture that promotes self-awareness, connection, and collaboration among citizens.",,,11% - 15%,All of the above,10+ hours per month,5,Somewhat familiar,"1. Decentralized digital identity, 

2. AI implementation,

3. Gamification to incentivize and enrich our culture with meaning. ","I trust in the community, but hope we focus most on creating a culture of meaning with decentralization always prioritized to encourage individuation. I'm skeptical of marketing because Cardano can market itself once people open their hearts and minds. We can't do that for them. "," integration and optimization of Decentralized digital identity across all aspects of Cardano. This combined with zero knowledge proofs really paves the way to decentralize nation states and re-engineer our entire civilization with caution and safety.

The ability for interoperability and seamless transition from traditional systems will be fundamental to making this possible. ","I think there are challenges outside the control of budget. We have to come together as a community, encourage a belief in optimistic and positive goals to help Cardano be the catalyst for civilizational progress that it has set out to be. 

We need to encourage less focus on accumulation of wealth and stand by our conviction in creating valuable tools that are accessible to all of humanity to help each of us actualize our potential and benefit mutually. 

I hope to continue to learn and find ways to better actualize this through action, and be the change I want to see in an ecosystem I have truly come to love. I hope to further my education and do my best to contribute more to Cardano then I did yesterday. 
",I would like to but unsure of how to join or participate,Monthly,Both high-level and detail,All the above,"No, thank you. ",North America,,I agree,2
3,End user,Over 5 years,Advanced,1,2,5,3,,,1,2,5,3,,4,"Ways to encourage diversify nodes in different languages, like through rust, haskell, etc",,,Less than 5%,Voting on proposals (as a DRep),Unsure/I don’t know,5,Not familiar,"Anything that will help with the primary propose of attracting talent, building the codes base, repositories, and libraries ",I do not think DReps should be paid at the protocol level.  ,"Yes, we need more developers, for everything!!","Waste, scammers and grifters.  Even from those that are perhaps well intended at the start ",I would like to but unsure of how to join or participate,Quarterly,Both high-level and detail,"Email newsletters, Official website updates","Please use strict scrutiny,  and do not be wasteful.",North America,,I agree,4
4,"Developer, Content creator / educator, Community organizer",2 - 5 years,Advanced,3,5,1,2,,,3,5,1,2,,4,"Stable coins, including USDC",,,5% - 10%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Somewhat familiar,"Blockchain conference sponsorships, hackathons and educational workshops",Cardano only focused events.  Need to engage outside our ecosystem.,"Blockchain conference sponsorships, hackathons and educational workshops","Transparent, Auditable and Trustworthy that budget process and fair and equitable.","Yes, one committee, working group or special interest group",Quarterly,Both high-level and detail,Email newsletters,Not at this time ,North America,,I agree,4
4,"End user, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO)",Over 5 years,Expert,4,2,5,3,,,5,3,4,2,,1,,,,5% - 10%,"Participating in focus groups or workshops, Providing feedback through surveys",Unsure/I don’t know,5,Somewhat familiar,Fast tracking fast finality improving throughput and marketing ,Governance ,Marketing for projects built on cardano exchange listing's for ecosystem projects and more stable coin options brought in natively ,Technical specs required for global adoption dev kits for utilization ,Yes but time is a major problem for me to really engage ,Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,No,North America,,I agree,1
5,"On-chain governance (DRep, ICC, SPO)",2 - 5 years,Expert,4,3,5,1,,,5,4,3,1,,2,,,,Less than 5%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,Not familiar,"Marketing, Layer 1 improvements (e.g. Input Endorsers, Partner chains), Stablecoins",Catalyst + Projects. Focus on L1 and marketing rather than DApps ,Marketing,"Marketing, Layer 1 improvements (e.g. Input Endorsers, Partner chains), Stablecoins","No, but would like to",Monthly,Both high-level and detail,All the above,,North America,,I agree,2
2,ADA holder,Over 5 years,Advanced,5,4,2,3,,,5,4,1,3,,2,Scaling,,,Less than 5%,All of the above,1-9 hours per month,5,Not familiar,"Marketing, sponsorship, new users",Less academic papers,Growth,Needs liquidity and users or it will die,I would like to but unsure of how to join or participate,Monthly,Both high-level and detail,All the above,"Make it as transparent as possible, work in public",Australia/Oceania,,I disagree (and do not want to be contacted),1
2,End user,2 - 5 years,Intermediate,5,4,3,2,,,1,2,3,4,,5,Ouroboros Leios,,,5% - 10%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,Not familiar,Ouroboros Leios,Governance,Scaling solutions,Scaling,"No, and not interested or have enough time",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,Transparency is key,Europe,,I agree,1
